Object ID,Object Title,Photo of Object,Library Branch,Location,Shelf Location,Bin Location,Material,Manufacturer (if known),Quantity
MAC3D1,Yarn- White,,MAC,Children's Workroom,A1,YARN,ACRYLIC,COLORATIONS,250 YARDS
MAC3D2,Yarn- Colors,,MAC,Children's Workroom,A1,YARN,ACRYLIC,COLORATIONS,120 YARDS PER SKEIN
MAC3D3,Pom Poms- Assorted Sizes and Colors,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,COLORATIONS,550 COUNT
MAC3D4,Pom Poms-Small Black,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,CRAFTER'S SQUARE,100 COUNT
MAC3D5,Pom Poms- Small Assorted Colors,,MAC,Children's Workroom,A1,POM POMS,ACRYLIC,UNKNOWN,200 COUNT
MAC3D6,Cotton Balls,,MAC,Children's Workroom,A1,POM POMS,COTTON,PACON,400 COUNT
MAC3D7,Coffee Filters,,MAC,Children's Workroom,B2,N/A,PAPER,UNKNOWN,600 COUNT
MAC3D8,Paper Cones,,MAC,Children's Workroom,B2,N/A,PAPER,BARE SOLO,200 COUNT
MAC3D9,"Canvas Panel- 4"" Square",,MAC,Children's Workroom,A2,N/A,CANVAS OVER BOARD,MONT MARTE,11 COUNT
MAC3D10,"Canvas Panel- 5""x7"" Rectangle",,MAC,Children's Workroom,A2,N/A,CANVAS OVER BOARD,U.S. ART SUPPLY,31 COUNT
MAC3D11,"Glass Pebbles- 1""",,MAC,Children's Workroom,A2,N/A,GLASS,UNKNOWN,50 COUNT
MAC3D12,"Glass Pebbles- 2""",,MAC,Children's Workroom,A2,N/A,GLASS,UNKNOWN,75 COUNT
MAC3D13,Beads- Natural Wooden,,MAC,Children's Workroom,A2,BEADS,WOOD,UNKNOWN,50 COUNT
MAC3D14,Beads- Opaque Green Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
MAC3D15,Beads- Opaque White Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
MAC3D16,Beads- Opaque Black Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT
MAC3D17,Beads- Opaque Yellow Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1000 COUNT
MAC3D18,Beads- Opaque Red Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,1500 COUNT
MAC3D19,Beads- Opaque Orange Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,WESTRIM CRAFTS,500 COUNT
MAC3D20,Beads- Fancy Assorted Pony Beads,,MAC,Children's Workroom,A2,BEADS,PLASTIC,UNKNOWN,500 COUNT